primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
CRVS_OFFICE_B2DjIXE16c3,Loveness,Ng'andu,COMMUNITY_LEADER,+260915151517,l.ngandu,kalushabwalya17+5@gmail.com,test
CRVS_OFFICE_LhCinzvFDJO,Mwansa,Chileshe,COMMUNITY_LEADER,+260921111112,m.chileshe,kalushabwalya17+6@gmail.com,test
CRVS_OFFICE_x3LR9wxW7zO,Humphrey,Katumbi,COMMUNITY_LEADER,+260912121213,h.katumbi,kalushabwalya17+7@gmail.com,test
CRVS_OFFICE_fBDlbuWS5Ix,Agness,Tembo,COMMUNITY_LEADER,+260923232324,a.tembo,kalushabwalya17+8@gmail.com,test
CRVS_OFFICE_Ry6NHyadadA,Mwila,Chikwanda,PROVINCIAL_REGISTRAR,+260934343435,m.chikwanda,kalushabwalya17+9@gmail.com,test
CRVS_OFFICE_Ry6NHyadadA,Taonga,Nkhoma,LOCAL_SYSTEM_ADMIN,+260978787879,t.nkhoma,kalushabwalya17+10@gmail.com,test
CRVS_OFFICE_Ap0mxDoJJ9s,Kondwani,Mwale,LOCAL_REGISTRAR,+260977777778,k.mwale,kalushabwalya17+11@gmail.com,test
CRVS_OFFICE_Ap0mxDoJJ9s,Chilufya,Tayali,REGISTRATION_AGENT,+260915151518,c.tayali,kalushabwalya17+12@gmail.com,test
CRVS_OFFICE_8OrJQUdLE4r,Mutinta,Mazoka,HOSPITAL_CLERK,+26091515216,m.mazoka,kalushabwalya17+13@gmail.com,test
CRVS_OFFICE_9Z850kEnydx,Benson,Kapiri,COMMUNITY_LEADER,+260915151815,b.kapiri,kalushabwalya17+14@gmail.com,test
CRVS_OFFICE_8JHUdKF0j7e,Alice,Simutowe,COMMUNITY_LEADER,+260911111113,a.simutowe,kalushabwalya17+15@gmail.com,test
CRVS_OFFICE_XLvNMQSOZM4,Dalitso,Sakala,LOCAL_REGISTRAR,+260922222224,d.sakala,kalushabwalya17+16@gmail.com,test
CRVS_OFFICE_XLvNMQSOZM4,Kunda,Simbaya,REGISTRATION_AGENT,+260933333335,k.simbaya,kalushabwalya17+17@gmail.com,test
CRVS_OFFICE_OtBJTfsUkiH,Bupe,Chanda,HOSPITAL_CLERK,+260921681114,b.chanda,kalushabwalya17+18@gmail.com,test
CRVS_OFFICE_8G4ZpZDYUvh,Enock,Kavindele,LOCAL_REGISTRAR,+260915151519,e.kavindele,kalushabwalya17+19@gmail.com,test
CRVS_OFFICE_7i71S87XwXa,Racheal,Namugala,HOSPITAL_CLERK,+260921111113,r.namugala,kalushabwalya17+20@gmail.com,test
CRVS_OFFICE_HCPPKY6gob2,Luyando,Haabazoka,LOCAL_REGISTRAR,+260912121214,l.haabazoka,kalushabwalya17+21@gmail.com,test
CRVS_OFFICE_I4ndZ4szi6s,Friday,Malwa,HOSPITAL_CLERK,+260923232325,f.malwa,kalushabwalya17+22@gmail.com,test
CRVS_OFFICE_TpQfg7EbAul,Sepiso,Wamunyima,PROVINCIAL_REGISTRAR,+260934343436,s.wamunyima,kalushabwalya17+23@gmail.com,test
CRVS_OFFICE_TpQfg7EbAul,Njavwa,Siame,LOCAL_REGISTRAR,+260978787880,n.siame,kalushabwalya17+24@gmail.com,test
CRVS_OFFICE_TpQfg7EbAul,Mapalo,Simbaya,REGISTRATION_AGENT,+260977777779,m.simbaya,kalushabwalya17+25@gmail.com,test
CRVS_OFFICE_TpQfg7EbAul,Kasonde,Mukuka,LOCAL_SYSTEM_ADMIN,+260915151520,k.mukuka,kalushabwalya17+26@gmail.com,test
CRVS_OFFICE_ktUJrhQR6FE,Mainza,Boloji,COMMUNITY_LEADER,+26091515217,m.boloji,kalushabwalya17+27@gmail.com,test
CRVS_OFFICE_ecAtpf7ZJ69,Zandile,Ngosa,COMMUNITY_LEADER,+260915151816,z.ngosa,kalushabwalya17+28@gmail.com,test
CRVS_OFFICE_n2fiap4evma,Kabange,Pande,PROVINCIAL_REGISTRAR,+260911111114,k.pande,kalushabwalya17+29@gmail.com,test
CRVS_OFFICE_iuntV0UV3Tc,Webster,Shamenda,LOCAL_REGISTRAR,+260922222225,w.shamenda,kalushabwalya17+30@gmail.com,test
CRVS_OFFICE_iuntV0UV3Tc,Precious,Lungu,REGISTRATION_AGENT,+260933333336,p.lungu,kalushabwalya17+31@gmail.com,test
CRVS_OFFICE_hq2w5KP2M6d,Grace,Njapau,HOSPITAL_CLERK,+260921681115,g.njapau,kalushabwalya17+32@gmail.com,test
CRVS_OFFICE_QtRZPH5M1Xd,Chanda,Kasolo,LOCAL_REGISTRAR,+260915151521,c.kasolo,kalushabwalya17+33@gmail.com,test
CRVS_OFFICE_QtRZPH5M1Xd,Kelvin,Nwale,REGISTRATION_AGENT,+260921111114,k.nwale,kalushabwalya17+34@gmail.com,test
CRVS_OFFICE_W1zgTm2kGWP,Misheck,Nyambose,HOSPITAL_CLERK,+260912121215,m.nyambose,kalushabwalya17+35@gmail.com,test
CRVS_OFFICE_nyzHo1A1Asw,Inonge,Wina,LOCAL_REGISTRAR,+260923232326,i.wina,kalushabwalya17+36@gmail.com,test
CRVS_OFFICE_nyzHo1A1Asw,Doreen,Mwamba,REGISTRATION_AGENT,+260934343437,d.mwamba,kalushabwalya17+37@gmail.com,test
CRVS_OFFICE_kQtB1WmEoBp,Levy,Mwanawasa,HOSPITAL_CLERK,+260978787881,l.mwanawasa,kalushabwalya17+38@gmail.com,test
CRVS_OFFICE_IRgUVi3fs82,Hakainde,Hichilema,LOCAL_REGISTRAR,+260977777780,h.hichilema,kalushabwalya17+39@gmail.com,test
CRVS_OFFICE_IRgUVi3fs82,Winston,Chileshe,REGISTRATION_AGENT,+260915151522,w.chileshe,kalushabwalya17+40@gmail.com,test
CRVS_OFFICE_CbHospX0011,Tilyenji,Kaunda,HOSPITAL_CLERK,+26091515218,t.kaunda,kalushabwalya17+41@gmail.com,test
CRVS_OFFICE_QrJy3W76BGd,Toukir,Mwila,EMBASSY_OFFICIAL,+260915151515,t.mwila,kalush.abwalya17@gmail.com,test
CRVS_OFFICE_QmAyxAJkxiJ,Velix,Katongo,REGISTRATION_AGENT,+26091515215,v.katongo,kalush.abwalya17+23232@gmail.com,test
CRVS_OFFICE_QmAyxAJkxiJ,Venedy,Mweene,LOCAL_REGISTRAR,+260915151814,v.mweene,kalushabwalya17+eo@gmail.com,test
CRVS_OFFICE_QmAyxAJkxiJ,Kalusha,Cwalya,HOSPITAL_CLERK,+260911111112,k.cwalya,kalushabwalya17+1@gmail.com,test
